interferon_responsive,disease_associated,chemokine,homeostatic,antigen_presenting,lipid_rich
IFIT3,TREM2,CCL12,TMEM119,HLA-DRA,PLIN2
IFIT1,CLEC7A,CCL13,P2RY12,HLA-DRB1,APOE
IFI6,APOE,CCL14,CX3CR1,HLA-DRB2,LIPA
BST2,CD9,CCL17,HEXB,HLA-DRB3,LPL
ISG15,SPP1,CCL2,CST3,HLA-DRB4,CD36
IFIT2,AXL,CCL24,SALL1,HLA-DRB5,PLIN1
MX1,ITGAX,CCL26,P2RY13,HLA-DRB6,PLIN3
PARP9,LILRB4,CCL3,SPI1,HLA-DRB7,PLIN4
IFI44L,LPL,CCL3L1,MAF,HLA-DRB8,PLIN5
IFITM3,TYROBP,CCL4,FRMD4A,HLA-DRB9,MSR1
CXCL10,CTSB,CCL4L2,ADGRG1,HLA-DQA1,LOX1
OASL2,CTSD,CCL4L4,TGFBR1,HLA-DQB1,FAPB5
IRF7,LGALS3,CCL5,FCRLS,HLA-DQA2,MMP12
IFI44,CD63,CCL6,CD169,HLA-DQB2,GPNMB
STAT2,APOC1,CCL7,TGFBR2,HLA-DQB3,ITGAX
STAT1,CD83,CCL8,MAFB,HLA-DOA,APOC1
ISG20,LGALS1,CCL9,EGR1,HLA-DOB,APOJ
C3,PPARG,IL4I1,ENTPD1,HLA-DMA,SLC25A5
CDKN1C,GPNMB,CD83,GPR34,HLA-DMB,CD63
CCL12,ASAH1,CXCL16,OLFML3,HLA-DPA1,LDHB
IFI27,,ICAM1,MEF2A,HLA-DPB1,AGNPTL7
IFITM2,GYPC,IL1A,MAFB,HLA-DPA2,SEPP1
LGALS9,SCIN,IL1B,ITGAM,HLA-DPB2,ADIPOR1
GMFB,LITAF,JUNB,SELPLG,HLA-DPA3,RBBP4
OAS2,ITGAX,NFKBIA,,CD74,CD68
LY6E,S100A11,NFKBIZ,,TAP2,SLC7A10
MX2,CTSL,TNF,,TAPBP,SLC8A3
IRF9,MYO1E,TNFAIP3,,TAP1,SLC2A5
OAS1,GLDN,TYMP,,B2M,ACE
OAS3,PTPRG,IL1RN,,TMSB10,A2M
